Year,Value
1961,null
1962,null
1963,null
1964,null
1965,null
1966,null
1967,null
1968,null
1969,null
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,null
1985,null
1986,null
1987,null
1988,null
1989,null
1990,null
1991,null
1992,null
1993,null
1994,null
1995,null
1996,null
1997,null
1998,null
1999,null
2000,null
2001,null
2002,null
2003,null
2004,12.0964
2005,null
2006,23.6257
2007,35.1671
2008,38.6233
2009,48.3514
2010,35.3934
2011,null
2012,19.0766
2013,null
2014,13.7364
2015,null
2016,6.3612
2017,null
2018,12.87
2019,null
2020,null
